num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,status_type
0,0,0,0,0,0,0,0,0,photo
0,0,0,0,0,0,0,0,0,photo
0.000212314,0,0,0,0.00152207,0,0,0,0,photo
0.000212314,4.76E-05,0,0,0.00152207,0,0,0,0,photo
0,0,0,0,0,0,0,0,0,photo
0,0,0,0,0,0,0,0,0,video
0,0,0,0,0,0,0,0,0,video
0,0,0,0,0,0,0,0,0,video
0.000212314,0,0,0,0.00152207,0,0,0,0,video
0,0,0,0,0,0,0,0,0,video
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0,0.000212314,0,0,0,0,0,link
0.000212314,0,0.010806075,0.000212314,0,0,0,0,0,photo
0.000212314,0,0.000292056,0.000212314,0,0,0,0,0,photo
0.000212314,0,0.010806075,0.000212314,0,0,0,0,0,photo
0.000212314,0,0.000292056,0.000212314,0,0,0,0,0,photo
0.000212314,0,0,0.000212314,0,0,0,0,0,photo
0.000212314,0,0,0.000212314,0,0,0,0,0,photo
0.000212314,4.76E-05,0.000292056,0.000212314,0,0,0,0,0,photo
0.000212314,0,0,0.000212314,0,0,0,0,0,photo
0.000212314,0,0,0.000212314,0,0,0,0,0,photo
0.000212314,4.76E-05,0.000292056,0.000212314,0,0,0,0,0,photo
0.000212314,0,0,0.000212314,0,0,0,0,0,photo
0.000424628,0,0,0.000212314,0.00152207,0,0,0,0,photo
0.000212314,0,0,0.000212314,0,0,0,0,0,video
0.000424628,0,0.010806075,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0.010806075,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,9.53E-05,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000849257,0,0,0.000424628,0.00304414,0,0,0,0,photo
0.000424628,0,0.004380841,0.000424628,0,0,0,0,0,photo
0.000424628,9.53E-05,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000849257,0,0,0.000424628,0.00304414,0,0,0,0,photo
0.000424628,0,0.004380841,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,photo
0.000424628,0,0,0.000424628,0,0,0,0,0,video
0.000424628,0,0,0.000424628,0,0,0,0,0,video
0.000424628,0,0,0.000424628,0,0,0,0,0,video
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,link
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000636943,0,0.000292056,0.000636943,0,0,0,0,0,photo
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000636943,0,0,0.000636943,0,0,0,0,0,photo
0.000849257,0,0,0.000636943,0,0.003597122,0,0,0,photo
